106,114,,,,,,,,
108,66,,,,,,,,
91,87,,,,,,,,
106,99,,,,,,,,
94,97,,,,,,,,
105,97,,,,,,,,
110,98,,,,,,,,
118,117,,,,,,,,
83,92,,,,,,,,
92,102,,,,,,,,
94,109,,,,,,,,
75,88,,,,,,,,
104,112,,,,,,,,
110,106,,,,,,,,
97,107,,,,,,,,
97,91,,,,,,,,
95,96,,,,,,,,
92,102,,,,,,,,
101,88,,,,,,,,
89,88,,,,,,,,
112,109,,,,,,,,
89,102,,,,,,,,
100,91,,,,,,,,
112,118,,,,,,,,
83,96,,,,,,,,
85,91,,,,,,,,
105,103,,,,,,,,
108,104,,,,,,,,
88,81,,,,,,,,
92,109,,,,,,,,
88,92,,,,,,,,
86,95,,,,,,,,
76,107,,,,,,,,
108,114,,,,,,,,
91,104,,,,,,,,
109,95,,,,,,,,
86,88,,,,,,,,
82,106,,,,,,,,
117,124,,,,,,,,
82,95,,,,,,,,
90,96,,,,,,,,"at New Orleans, LA"
98,107,,,,,,,,
101,117,,,,,,,,
103,94,,,,,,,,
85,110,,,,,,,,
107,104,,,,,,,,
89,102,,,,,,,,
105,93,,,,,,,,
103,106,,,,,,,,
81,93,,,,,,,,
101,103,,,,,,,,
104,95,,,,,,,,
86,97,,,,,,,,
88,95,,,,,,,,
86,80,,,,,,,,
87,90,,,,,,,,
93,97,,,,,,,,
108,110,,,,,,,,
109,107,,,,,,,,
85,103,,,,,,,,
97,93,,,,,,,,
89,96,,,,,,,,
87,88,,,,,,,,
90,101,,,,,,,,
86,99,,,,,,,,
106,111,,,,,,,,
104,106,,,,,,,,
91,117,,,,,,,,
94,113,,,,,,,,
116,121,,,,,,,,
119,112,,,,,,,,
107,100,,,,,,,,
99,85,,,,,,,,
94,103,,,,,,,,
83,93,,,,,,,,
97,83,,,,,,,,
113,106,,,,,,,,
108,101,,,,,,,,
91,92,,,,,,,,
111,102,,,,,,,,
111,116,,,,,,,,
113,112,,,,,,,,
80,89,,,,,,,,
93,94,,,,,,,,
79,111,,,,,,,,
113,111,,,,,,,,
109,98,,,,,,,,
87,96,,,,,,,,
92,100,,,,,,,,
108,101,,,,,,,,
76,92,,,,,,,,
81,91,,,,,,,,
94,72,,,,,,,,
103,96,,,,,,,,
92,107,,,,,,,,
105,93,,,,,,,,
92,89,,,,,,,,
119,113,,,,,,,,
102,96,,,,,,,,
103,101,,,,,,,,
99,111,,,,,,,,
99,110,,,,,,,,
92,84,,,,,,,,
112,105,,,,,,,,
89,101,,,,,,,,
85,94,,,,,,,,
90,112,,,,,,,,
88,114,,,,,,,,
87,100,,,,,,,,
100,99,,,,,,,,
87,100,,,,,,,,
82,102,,,,,,,,
99,108,,,,,,,,
111,115,,,,,,,,
95,92,,,,,,,,
96,90,,,,,,,,
105,117,,,,,,,,
100,101,,,,,,,,
90,118,,,,,,,,
76,92,,,,,,,,
91,100,,,,,,,,
100,91,,,,,,,,
100,107,,,,,,,,
115,103,,,,,,,,
100,76,,,,,,,,
94,106,,,,,,,,
83,100,,,,,,,,
118,109,,,,,,,,
93,88,,,,,,,,
84,89,,,,,,,,
109,117,,,,,,,,
92,104,,,,,,,,
95,107,,,,,,,,
97,103,,,,,,,,
102,100,,,,,,,,
99,96,,,,,,,,
86,68,,,,,,,,
122,118,,,,,,,,
83,97,,,,,,,,
117,120,,,,,,,,
99,111,,,,,,,,
72,82,,,,,,,,
108,99,,,,,,,,
93,85,,,,,,,,
113,110,,,,,,,,
86,95,,,,,,,,
97,90,,,,,,,,
107,98,,,,,,,,
87,99,,,,,,,,
96,101,,,,,,,,
94,97,,,,,,,,
80,107,,,,,,,,
109,113,,,,,,,,
88,93,,,,,,,,
101,105,,,,,,,,
86,101,,,,,,,,
97,87,,,,,,,,
83,92,,,,,,,,
98,103,,,,,,,,
115,112,,,,,,,,
82,86,,,,,,,,
95,85,,,,,,,,
94,98,,,,,,,,
89,107,,,,,,,,
91,96,,,,,,,,
83,92,,,,,,,,
97,100,,,,,,,,
110,101,,,,,,,,
86,106,,,,,,,,
87,95,,,,,,,,
93,97,,,,,,,,
101,77,,,,,,,,
129,140,,,,,,,,
95,104,,,,,,,,
87,97,,,,,,,,
80,95,,,,,,,,
107,104,,,,,,,,
86,79,,,,,,,,
108,123,,,,,,,,
93,99,,,,,,,,
95,92,,,,,,,,
109,100,,,,,,,,
108,114,,,,,,,,
102,93,,,,,,,,
95,108,,,,,,,,
73,85,,,,,,,,
78,91,,,,,,,,
76,85,,,,,,,,
111,98,,,,,,,,
96,104,,,,,,,,
106,95,,,,,,,,
79,98,,,,,,,,
85,105,,,,,,,,
115,111,,,,,,,,
88,103,,,,,,,,
93,99,,,,,,,,
119,101,,,,,,,,
98,78,,,,,,,,
83,92,,,,,,,,
87,93,,,,,,,,
102,111,,,,,,,,
91,103,,,,,,,,
88,75,,,,,,,,
85,102,,,,,,,,
108,96,,,,,,,,
75,82,,,,,,,,
109,105,,,,,,,,
96,92,,,,,,,,
94,77,,,,,,,,
105,97,,,,,,,,
80,93,,,,,,,,
95,96,,,,,,,,
90,99,,,,,,,,
106,103,,,,,,,,
101,98,,,,,,,,
98,117,,,,,,,,
108,106,,,,,,,,
90,105,,,,,,,,
91,102,,,,,,,,
94,84,,,,,,,,
75,83,,,,,,,,
102,132,,,,,,,,
87,85,,,,,,,,
106,95,,,,,,,,
90,109,,,,,,,,
100,108,,,,,,,,
106,92,,,,,,,,
111,108,,,,,,,,
116,122,,,,,,,,
91,89,,,,,,,,
103,105,,,,,,,,
102,106,,,,,,,,
109,121,,,,,,,,
94,112,,,,,,,,
101,121,,,,,,,,
115,110,,,,,,,,
63,81,,,,,,,,
97,88,,,,,,,,
98,97,,,,,,,,
107,112,,,,,,,,
103,100,,,,,,,,
98,100,,,,,,,,
107,109,,,,,,,,
89,97,,,,,,,,
91,116,,,,,,,,
95,84,,,,,,,,
107,96,,,,,,,,
82,100,,,,,,,,
87,101,,,,,,,,
90,98,,,,,,,,
92,89,,,,,,,,
89,129,,,,,,,,
88,101,,,,,,,,
97,106,,,,,,,,
88,85,,,,,,,,
90,118,,,,,,,,
97,101,,,,,,,,
92,75,,,,,,,,
102,127,,,,,,,,
87,102,,,,,,,,
98,96,,,,,,,,
96,76,,,,,,,,
94,121,,,,,,,,
91,95,,,,,,,,
98,96,,,,,,,,
80,94,,,,,,,,
105,89,,,,,,,,
94,102,,,,,,,,
84,90,,,,,,,,
113,102,,,,,,,,
92,82,,,,,,,,
161,157,,,,,,,,
93,91,,,,,,,,
116,111,,,,,,,,
92,62,,,,,,,,
90,93,,,,,,,,
107,123,,,,,,,,
95,108,,,,,,,,
95,106,,,,,,,,
94,100,,,,,,,,
103,110,,,,,,,,
87,83,,,,,,,,
113,98,,,,,,,,
82,111,,,,,,,,
74,94,,,,,,,,
91,81,,,,,,,,
75,107,,,,,,,,
90,105,,,,,,,,
80,101,,,,,,,,
89,82,,,,,,,,
92,90,,,,,,,,
107,115,,,,,,,,
84,86,,,,,,,,
114,109,,,,,,,,
114,84,,,,,,,,
99,106,,,,,,,,
92,117,,,,,,,,
115,117,,,,,,,,
93,83,,,,,,,,
91,106,,,,,,,,
103,81,,,,,,,,
77,99,,,,,,,,
92,105,,,,,,,,
89,95,,,,,,,,
97,90,,,,,,,,
103,89,,,,,,,,
81,79,,,,,,,,
79,101,,,,,,,,
100,87,,,,,,,,
113,126,,,,,,,,
