Cleveland Indians (4), Chicago White Sox (10)
Tampa Bay Devil Rays (6), Baltimore Orioles (9)
Chicago Cubs (16), Cincinnati Reds (7)
Arizona D'Backs (2), Colorado Rockies (3)
Florida Marlins (0), Houston Astros (1)
Detroit Tigers (3), Kansas City Royals (1)
Atlanta Braves (11), Los Angeles Dodgers (10)
Pittsburgh Pirates (2), Milwaukee Brewers (5)
Washington Nationals (2), New York Mets (3)
New York Yankees (15), Oakland Athletics (2)
St. Louis Cardinals (13), Philadelphia Phillies (5)
San Francisco Giants (1), San Diego Padres (6)
LA Angels of Anaheim (5), Seattle Mariners (4)
Boston Red Sox (7), Texas Rangers (3)
Cleveland Indians (8), Chicago White Sox (2)
Florida Marlins (11), Houston Astros (2)
Atlanta Braves (4), Los Angeles Dodgers (5)
Pittsburgh Pirates (5), Milwaukee Brewers (7)
New York Yankees (3), Oakland Athletics (4)
LA Angels of Anaheim (8), Seattle Mariners (10)
Boston Red Sox (4), Texas Rangers (10)
Minnesota Twins (3), Toronto Blue Jays (6)
Tampa Bay Devil Rays (6), Baltimore Orioles (16)
Cleveland Indians (4), Chicago White Sox (3)
Chicago Cubs (6), Cincinnati Reds (8)
Arizona D'Backs (4), Colorado Rockies (2)
Florida Marlins (5), Houston Astros (6)
Detroit Tigers (14), Kansas City Royals (3)
Atlanta Braves (9), Los Angeles Dodgers (8)
Pittsburgh Pirates (2), Milwaukee Brewers (3)
Washington Nationals (9), New York Mets (5)
New York Yankees (4), Oakland Athletics (9)
St. Louis Cardinals (4), Philadelphia Phillies (3)
San Francisco Giants (3), San Diego Padres (1)
LA Angels of Anaheim (4), Seattle Mariners (6)
Boston Red Sox (2), Texas Rangers (1)
Minnesota Twins (13), Toronto Blue Jays (4)
Tampa Bay Devil Rays (2), Baltimore Orioles (0)
Pittsburgh Pirates (5), Cincinnati Reds (6)
Arizona D'Backs (12), Colorado Rockies (5)
Washington Nationals (5), New York Mets (10)
St. Louis Cardinals (4), Philadelphia Phillies (2)
Oakland Athletics (2), Seattle Mariners (6)
Atlanta Braves (4), San Francisco Giants (6)
Detroit Tigers (10), Texas Rangers (6)
Minnesota Twins (3), Toronto Blue Jays (6)
New York Yankees (1), LA Angels of Anaheim (4)
Boston Red Sox (14), Baltimore Orioles (8)
St. Louis Cardinals (1), Chicago Cubs (5)
Pittsburgh Pirates (6), Cincinnati Reds (7)
Minnesota Twins (6), Cleveland Indians (11)
Washington Nationals (1), Houston Astros (6)
Chicago White Sox (7), Kansas City Royals (11)
Arizona D'Backs (1), Milwaukee Brewers (3)
Florida Marlins (3), New York Mets (9)
Los Angeles Dodgers (5), Philadelphia Phillies (3)
Colorado Rockies (10), San Diego Padres (4)
Oakland Athletics (5), Seattle Mariners (0)
Atlanta Braves (14), San Francisco Giants (6)
Detroit Tigers (5), Texas Rangers (2)
Tampa Bay Devil Rays (9), Toronto Blue Jays (8)
New York Yankees (2), LA Angels of Anaheim (3)
Boston Red Sox (2), Baltimore Orioles (1)
St. Louis Cardinals (2), Chicago Cubs (3)
Pittsburgh Pirates (9), Cincinnati Reds (11)
Minnesota Twins (0), Cleveland Indians (3)
Washington Nationals (12), Houston Astros (8)
Chicago White Sox (3), Kansas City Royals (4)
Arizona D'Backs (4), Milwaukee Brewers (5)
Colorado Rockies (12), San Diego Padres (4)
Oakland Athletics (3), Seattle Mariners (0)
Atlanta Braves (6), San Francisco Giants (12)
Detroit Tigers (7), Texas Rangers (0)
Tampa Bay Devil Rays (4), Toronto Blue Jays (8)
New York Yankees (10), LA Angels of Anaheim (1)
Boston Red Sox (4), Baltimore Orioles (1)
St. Louis Cardinals (4), Chicago Cubs (8)
Pittsburgh Pirates (5), Cincinnati Reds (3)
Minnesota Twins (2), Cleveland Indians (3)
Washington Nationals (3), Houston Astros (7)
Chicago White Sox (3), Kansas City Royals (1)
Arizona D'Backs (7), Milwaukee Brewers (0)
Florida Marlins (2), New York Mets (3)
Los Angeles Dodgers (3), Philadelphia Phillies (6)
Los Angeles Dodgers (6), Philadelphia Phillies (2)
Colorado Rockies (10), San Diego Padres (4)
Oakland Athletics (6), Seattle Mariners (4)
Atlanta Braves (5), San Francisco Giants (6)
Detroit Tigers (3), Texas Rangers (5)
Tampa Bay Devil Rays (5), Toronto Blue Jays (2)
Texas Rangers (2), LA Angels of Anaheim (5)
Philadelphia Phillies (3), Atlanta Braves (5)
Chicago White Sox (5), Detroit Tigers (3)
Washington Nationals (4), Houston Astros (5)
Los Angeles Dodgers (8), Pittsburgh Pirates (3)
Milwaukee Brewers (4), St. Louis Cardinals (6)
Baltimore Orioles (6), Tampa Bay Devil Rays (3)
Texas Rangers (4), LA Angels of Anaheim (5)
Colorado Rockies (6), Arizona D'Backs (5)
Toronto Blue Jays (3), Boston Red Sox (5)
Cincinnati Reds (9), Chicago Cubs (2)
Seattle Mariners (5), Cleveland Indians (9)
San Diego Padres (9), Florida Marlins (3)
Oakland Athletics (6), Minnesota Twins (7)
Kansas City Royals (7), New York Yankees (9)
Los Angeles Dodgers (6), Pittsburgh Pirates (7)
Baltimore Orioles (8), Tampa Bay Devil Rays (4)
New York Mets (7), Washington Nationals (1)
Texas Rangers (11), LA Angels of Anaheim (3)
Colorado Rockies (4), Arizona D'Backs (5)
Philadelphia Phillies (7), Atlanta Braves (5)
Toronto Blue Jays (8), Boston Red Sox (4)
Cincinnati Reds (1), Chicago Cubs (4)
Seattle Mariners (11), Cleveland Indians (9)
Chicago White Sox (4), Detroit Tigers (3)
San Diego Padres (7), Florida Marlins (2)
Oakland Athletics (5), Minnesota Twins (6)
Kansas City Royals (5), New York Yankees (12)
Los Angeles Dodgers (5), Pittsburgh Pirates (9)
Milwaukee Brewers (3), St. Louis Cardinals (8)
Baltimore Orioles (4), Tampa Bay Devil Rays (7)
New York Mets (3), Washington Nationals (1)
Colorado Rockies (5), Arizona D'Backs (3)
Philadelphia Phillies (7), Atlanta Braves (6)
Toronto Blue Jays (8), Boston Red Sox (6)
Cincinnati Reds (8), Chicago Cubs (3)
Seattle Mariners (9), Cleveland Indians (5)
Chicago White Sox (13), Detroit Tigers (9)
San Diego Padres (2), Florida Marlins (9)
Oakland Athletics (2), Minnesota Twins (8)
Kansas City Royals (3), New York Yankees (9)
Los Angeles Dodgers (13), Pittsburgh Pirates (5)
Houston Astros (3), San Francisco Giants (5)
Houston Astros (8), San Francisco Giants (0)
Milwaukee Brewers (4), St. Louis Cardinals (3)
Baltimore Orioles (6), Tampa Bay Devil Rays (5)
New York Mets (13), Washington Nationals (4)
Houston Astros (1), Arizona D'Backs (5)
San Diego Padres (4), Atlanta Braves (5)
LA Angels of Anaheim (5), Baltimore Orioles (6)
Seattle Mariners (1), Boston Red Sox (2)
Toronto Blue Jays (13), Chicago White Sox (7)
Philadelphia Phillies (10), Colorado Rockies (8)
Cleveland Indians (1), Detroit Tigers (5)
Washington Nationals (3), Florida Marlins (5)
San Francisco Giants (2), Los Angeles Dodgers (1)
New York Yankees (1), Minnesota Twins (5)
Milwaukee Brewers (3), New York Mets (4)
Texas Rangers (6), Oakland Athletics (3)
