San Diego Padres (1), Philadelphia Phillies (2)
Detroit Tigers (7), Pittsburgh Pirates (3)
Texas Rangers (2), Seattle Mariners (4)
Milwaukee Brewers (6), St. Louis Cardinals (4)
Cleveland Indians (4), Tampa Bay Rays (1)
New York Yankees (2), Toronto Blue Jays (7)
Atlanta Braves (0), Washington Nationals (3)
Cincinnati Reds (1), Chicago Cubs (8)
San Francisco Giants (6), Colorado Rockies (11)
Kansas City Royals (6), Houston Astros (2)
Arizona D'Backs (2), Los Angeles Dodgers (5)
Chicago White Sox (3), Minnesota Twins (1)
San Diego Padres (0), Philadelphia Phillies (3)
Detroit Tigers (7), Pittsburgh Pirates (4)
Milwaukee Brewers (0), St. Louis Cardinals (7)
Cleveland Indians (6), Tampa Bay Rays (0)
Baltimore Orioles (3), Texas Rangers (6)
New York Yankees (2), Toronto Blue Jays (4)
Atlanta Braves (2), Washington Nationals (6)
Toronto Blue Jays (3), Boston Red Sox (5)
Colorado Rockies (6), Chicago Cubs (1)
New York Mets (6), Cleveland Indians (5)
Detroit Tigers (0), Houston Astros (1)
San Francisco Giants (3), Los Angeles Dodgers (7)
Atlanta Braves (6), Miami Marlins (3)
LA Angels of Anaheim (4), Minnesota Twins (5)
Seattle Mariners (7), New York Yankees (1)
Kansas City Royals (4), Oakland Athletics (2)
Washington Nationals (9), Philadelphia Phillies (1)
Milwaukee Brewers (8), Pittsburgh Pirates (4)
Arizona D'Backs (3), San Diego Padres (2)
Cincinnati Reds (3), St. Louis Cardinals (14)
Chicago White Sox (1), Tampa Bay Rays (0)
Baltimore Orioles (11), Texas Rangers (5)
Toronto Blue Jays (2), Boston Red Sox (4)
Colorado Rockies (2), Chicago Cubs (6)
New York Mets (5), Cleveland Indians (7)
Detroit Tigers (5), Houston Astros (3)
San Francisco Giants (4), Los Angeles Dodgers (3)
Atlanta Braves (6), Miami Marlins (4)
LA Angels of Anaheim (4), Minnesota Twins (6)
Seattle Mariners (3), New York Yankees (2)
Kansas City Royals (3), Oakland Athletics (5)
Washington Nationals (8), Philadelphia Phillies (1)
Milwaukee Brewers (0), Pittsburgh Pirates (5)
Arizona D'Backs (3), San Diego Padres (5)
Cincinnati Reds (9), St. Louis Cardinals (8)
Chicago White Sox (2), Tampa Bay Rays (7)
Baltimore Orioles (4), Texas Rangers (8)
Toronto Blue Jays (5), Boston Red Sox (3)
Colorado Rockies (2), Chicago Cubs (0)
New York Mets (6), Cleveland Indians (0)
Detroit Tigers (4), Houston Astros (5)
San Francisco Giants (1), Los Angeles Dodgers (3)
Atlanta Braves (6), Miami Marlins (5)
LA Angels of Anaheim (2), Minnesota Twins (3)
Seattle Mariners (3), New York Yankees (4)
Kansas City Royals (2), Oakland Athletics (3)
Washington Nationals (2), Philadelphia Phillies (3)
Milwaukee Brewers (3), Pittsburgh Pirates (9)
Arizona D'Backs (7), San Diego Padres (3)
Cincinnati Reds (3), St. Louis Cardinals (4)
Chicago White Sox (2), Tampa Bay Rays (3)
Toronto Blue Jays (4), Boston Red Sox (3)
LA Angels of Anaheim (7), Chicago White Sox (0)
Colorado Rockies (5), Cincinnati Reds (1)
Washington Nationals (1), Miami Marlins (6)
Milwaukee Brewers (4), Minnesota Twins (7)
New York Mets (5), Philadelphia Phillies (2)
Arizona D'Backs (9), San Francisco Giants (7)
Chicago Cubs (5), St. Louis Cardinals (0)
Los Angeles Dodgers (1), Atlanta Braves (8)
Toronto Blue Jays (4), Baltimore Orioles (3)
Tampa Bay Rays (3), Boston Red Sox (0)
LA Angels of Anaheim (0), Chicago White Sox (5)
Colorado Rockies (3), Cincinnati Reds (4)
Seattle Mariners (2), Cleveland Indians (3)
Detroit Tigers (6), Kansas City Royals (8)
Washington Nationals (7), Miami Marlins (0)
Milwaukee Brewers (6), Minnesota Twins (5)
Oakland Athletics (3), New York Yankees (2)
New York Mets (11), Philadelphia Phillies (1)
Pittsburgh Pirates (4), San Diego Padres (5)
Arizona D'Backs (3), San Francisco Giants (0)
Chicago Cubs (2), St. Louis Cardinals (1)
Houston Astros (5), Texas Rangers (7)
Los Angeles Dodgers (5), Atlanta Braves (3)
Toronto Blue Jays (3), Baltimore Orioles (4)
Tampa Bay Rays (3), Boston Red Sox (7)
LA Angels of Anaheim (1), Chicago White Sox (2)
Colorado Rockies (5), Cincinnati Reds (6)
Seattle Mariners (2), Cleveland Indians (1)
Detroit Tigers (3), Kansas City Royals (2)
Washington Nationals (3), Miami Marlins (1)
Minnesota Twins (5), Milwaukee Brewers (10)
Oakland Athletics (5), New York Yankees (2)
New York Mets (4), Philadelphia Phillies (5)
Pittsburgh Pirates (2), San Diego Padres (8)
Arizona D'Backs (2), San Francisco Giants (1)
Chicago Cubs (3), St. Louis Cardinals (5)
Houston Astros (1), Texas Rangers (2)
Los Angeles Dodgers (2), Atlanta Braves (1)
Toronto Blue Jays (2), Baltimore Orioles (3)
Tampa Bay Rays (12), Boston Red Sox (8)
LA Angels of Anaheim (3), Chicago White Sox (2)
Chicago Cubs (16), Cincinnati Reds (0)
Seattle Mariners (10), Cleveland Indians (7)
Detroit Tigers (0), Kansas City Royals (4)
Washington Nationals (1), Miami Marlins (5)
Minnesota Twins (8), Milwaukee Brewers (1)
Oakland Athletics (7), New York Yankees (3)
Pittsburgh Pirates (11), San Diego Padres (1)
Arizona D'Backs (6), San Francisco Giants (2)
Houston Astros (4), Texas Rangers (7)
Seattle Mariners (5), LA Angels of Anaheim (2)
Pittsburgh Pirates (8), Arizona D'Backs (7)
New York Mets (6), Atlanta Braves (3)
Texas Rangers (0), Chicago White Sox (5)
Chicago Cubs (8), Cincinnati Reds (1)
Los Angeles Dodgers (5), Colorado Rockies (7)
Cleveland Indians (2), Detroit Tigers (1)
Boston Red Sox (6), Houston Astros (2)
Baltimore Orioles (2), Kansas City Royals (4)
Philadelphia Phillies (5), Milwaukee Brewers (2)
Tampa Bay Rays (3), New York Yankees (6)
St. Louis Cardinals (1), San Diego Padres (4)
Miami Marlins (1), San Francisco Giants (8)
Oakland Athletics (8), Toronto Blue Jays (5)
Minnesota Twins (4), Washington Nationals (8)
Seattle Mariners (2), LA Angels of Anaheim (4)
Pittsburgh Pirates (1), Arizona D'Backs (7)
New York Mets (8), Atlanta Braves (2)
Texas Rangers (3), Chicago White Sox (4)
Chicago Cubs (5), Cincinnati Reds (13)
Los Angeles Dodgers (4), Colorado Rockies (1)
Cleveland Indians (10), Detroit Tigers (1)
Boston Red Sox (3), Houston Astros (8)
Baltimore Orioles (8), Kansas City Royals (3)
Philadelphia Phillies (10), Milwaukee Brewers (6)
Tampa Bay Rays (2), New York Yankees (3)
St. Louis Cardinals (11), San Diego Padres (2)
Miami Marlins (2), San Francisco Giants (7)
Oakland Athletics (3), Toronto Blue Jays (9)
Minnesota Twins (0), Washington Nationals (2)
Seattle Mariners (9), LA Angels of Anaheim (4)
Pittsburgh Pirates (12), Arizona D'Backs (10)
New York Mets (3), Atlanta Braves (2)
Texas Rangers (1), Chicago White Sox (4)
Chicago Cubs (9), Cincinnati Reds (0)
Los Angeles Dodgers (12), Colorado Rockies (10)
Cleveland Indians (6), Detroit Tigers (3)
Boston Red Sox (7), Houston Astros (5)
Baltimore Orioles (1), Kansas City Royals (6)
Philadelphia Phillies (5), Milwaukee Brewers (8)
Tampa Bay Rays (8), New York Yankees (1)
St. Louis Cardinals (8), San Diego Padres (5)
Miami Marlins (5), San Francisco Giants (4)
Oakland Athletics (3), Toronto Blue Jays (6)
Minnesota Twins (5), Washington Nationals (6)
Kansas City Royals (1), LA Angels of Anaheim (6)
St. Louis Cardinals (7), Arizona D'Backs (12)
Boston Red Sox (1), Atlanta Braves (0)
Pittsburgh Pirates (6), Colorado Rockies (1)
Oakland Athletics (3), Detroit Tigers (7)
Miami Marlins (3), Los Angeles Dodgers (2)
Cleveland Indians (3), Minnesota Twins (4)
Cincinnati Reds (3), New York Mets (5)
Houston Astros (2), Seattle Mariners (3)
San Diego Padres (4), San Francisco Giants (5)
Baltimore Orioles (0), Tampa Bay Rays (2)
New York Yankees (3), Texas Rangers (1)
Chicago White Sox (7), Toronto Blue Jays (5)
Kansas City Royals (4), LA Angels of Anaheim (9)
