Boston Red Sox (2), Kansas City Royals (3)
Boston Red Sox (5), Kansas City Royals (2)
Chicago Cubs (2), Milwaukee Brewers (1)
Washington Nationals (7), New York Mets (1)
Texas Rangers (1), Oakland Athletics (8)
Miami Marlins (2), Philadelphia Phillies (4)
Atlanta Braves (3), Pittsburgh Pirates (1)
San Francisco Giants (2), San Diego Padres (1)
Colorado Rockies (0), St. Louis Cardinals (2)
Tampa Bay Rays (6), Toronto Blue Jays (3)
Los Angeles Dodgers (4), LA Angels of Anaheim (7)
Seattle Mariners (7), Baltimore Orioles (2)
Houston Astros (1), Chicago White Sox (2)
Cleveland Indians (7), Cincinnati Reds (2)
Chicago Cubs (3), Milwaukee Brewers (5)
Toronto Blue Jays (3), Minnesota Twins (2)
Washington Nationals (9), New York Mets (1)
New York Yankees (4), Oakland Athletics (1)
Atlanta Braves (2), Pittsburgh Pirates (8)
San Francisco Giants (3), San Diego Padres (1)
Colorado Rockies (7), St. Louis Cardinals (13)
Baltimore Orioles (9), LA Angels of Anaheim (4)
Cleveland Indians (4), Boston Red Sox (2)
Kansas City Royals (4), Chicago White Sox (1)
Seattle Mariners (8), Cincinnati Reds (3)
Tampa Bay Rays (7), Detroit Tigers (5)
Texas Rangers (2), Houston Astros (1)
Washington Nationals (4), Miami Marlins (1)
Toronto Blue Jays (9), Minnesota Twins (3)
Milwaukee Brewers (2), New York Mets (3)
New York Yankees (8), Oakland Athletics (3)
Atlanta Braves (7), Philadelphia Phillies (1)
Colorado Rockies (1), Pittsburgh Pirates (2)
Los Angeles Dodgers (6), San Diego Padres (7)
Chicago Cubs (8), San Francisco Giants (1)
Arizona D'Backs (11), St. Louis Cardinals (7)
Baltimore Orioles (3), LA Angels of Anaheim (1)
Cleveland Indians (1), Boston Red Sox (9)
Kansas City Royals (2), Chicago White Sox (1)
Seattle Mariners (4), Cincinnati Reds (0)
Tampa Bay Rays (4), Detroit Tigers (5)
Texas Rangers (2), Houston Astros (1)
Washington Nationals (2), Miami Marlins (3)
Toronto Blue Jays (3), Minnesota Twins (5)
Milwaukee Brewers (4), New York Mets (5)
New York Yankees (5), Oakland Athletics (1)
Atlanta Braves (2), Philadelphia Phillies (0)
Colorado Rockies (5), Pittsburgh Pirates (1)
Los Angeles Dodgers (2), San Diego Padres (3)
Chicago Cubs (3), San Francisco Giants (5)
Arizona D'Backs (2), St. Louis Cardinals (6)
Baltimore Orioles (2), LA Angels of Anaheim (10)
Cleveland Indians (2), Boston Red Sox (5)
Kansas City Royals (2), Chicago White Sox (3)
Seattle Mariners (5), Cincinnati Reds (4)
Tampa Bay Rays (4), Detroit Tigers (9)
Texas Rangers (9), Houston Astros (2)
Washington Nationals (8), Miami Marlins (2)
Toronto Blue Jays (3), Minnesota Twins (1)
Milwaukee Brewers (1), New York Mets (3)
New York Yankees (5), Oakland Athletics (4)
Atlanta Braves (0), Philadelphia Phillies (5)
Los Angeles Dodgers (9), San Diego Padres (5)
Chicago Cubs (0), San Francisco Giants (1)
Arizona D'Backs (7), St. Louis Cardinals (2)
Cleveland Indians (6), Chicago White Sox (7)
Cleveland Indians (5), Chicago White Sox (1)
Philadelphia Phillies (4), Detroit Tigers (5)
Cincinnati Reds (0), Los Angeles Dodgers (1)
Tampa Bay Rays (6), Miami Marlins (7)
Kansas City Royals (10), Minnesota Twins (4)
Colorado Rockies (3), Pittsburgh Pirates (6)
Oakland Athletics (5), Seattle Mariners (0)
San Diego Padres (0), San Francisco Giants (1)
Chicago Cubs (3), St. Louis Cardinals (4)
LA Angels of Anaheim (2), Texas Rangers (0)
New York Mets (7), Washington Nationals (1)
Milwaukee Brewers (2), Atlanta Braves (1)
Colorado Rockies (3), Boston Red Sox (8)
Cleveland Indians (6), Chicago White Sox (2)
Philadelphia Phillies (1), Detroit Tigers (3)
Baltimore Orioles (2), Houston Astros (3)
Cincinnati Reds (2), Los Angeles Dodgers (8)
Tampa Bay Rays (4), Miami Marlins (3)
Kansas City Royals (7), Minnesota Twins (4)
Toronto Blue Jays (0), New York Yankees (6)
Arizona D'Backs (1), Pittsburgh Pirates (12)
Oakland Athletics (5), Seattle Mariners (6)
San Diego Padres (2), San Francisco Giants (8)
Chicago Cubs (12), St. Louis Cardinals (3)
LA Angels of Anaheim (1), Texas Rangers (4)
New York Mets (4), Washington Nationals (7)
Milwaukee Brewers (3), Atlanta Braves (2)
Colorado Rockies (3), Boston Red Sox (10)
Cleveland Indians (4), Chicago White Sox (3)
Philadelphia Phillies (8), Detroit Tigers (5)
Baltimore Orioles (3), Houston Astros (4)
Cincinnati Reds (1), Los Angeles Dodgers (3)
Kansas City Royals (5), Minnesota Twins (7)
Toronto Blue Jays (8), New York Yankees (4)
Arizona D'Backs (4), Pittsburgh Pirates (5)
Oakland Athletics (3), Seattle Mariners (13)
San Diego Padres (3), San Francisco Giants (4)
Chicago Cubs (9), St. Louis Cardinals (8)
Miami Marlins (4), Tampa Bay Rays (3)
LA Angels of Anaheim (9), Texas Rangers (15)
New York Mets (2), Washington Nationals (0)
Milwaukee Brewers (6), Atlanta Braves (2)
Colorado Rockies (8), Boston Red Sox (2)
Baltimore Orioles (2), Houston Astros (4)
Toronto Blue Jays (3), New York Yankees (1)
Arizona D'Backs (3), Pittsburgh Pirates (8)
Miami Marlins (9), Tampa Bay Rays (1)
St. Louis Cardinals (1), Washington Nationals (2)
Houston Astros (2), LA Angels of Anaheim (7)
San Diego Padres (10), Arizona D'Backs (3)
Miami Marlins (2), Atlanta Braves (4)
Philadelphia Phillies (2), Chicago Cubs (6)
Baltimore Orioles (6), Cleveland Indians (4)
San Francisco Giants (2), Colorado Rockies (5)
Chicago White Sox (5), Kansas City Royals (7)
Cincinnati Reds (5), Milwaukee Brewers (9)
Los Angeles Dodgers (5), New York Mets (6)
Detroit Tigers (4), Oakland Athletics (1)
Minnesota Twins (7), Seattle Mariners (2)
New York Yankees (4), Tampa Bay Rays (1)
Pittsburgh Pirates (9), Texas Rangers (1)
Boston Red Sox (5), Toronto Blue Jays (7)
St. Louis Cardinals (6), Washington Nationals (2)
Houston Astros (4), LA Angels of Anaheim (2)
San Diego Padres (7), Arizona D'Backs (8)
Miami Marlins (2), Atlanta Braves (7)
Philadelphia Phillies (1), Chicago Cubs (4)
Baltimore Orioles (4), Cleveland Indians (11)
San Francisco Giants (10), Colorado Rockies (5)
Chicago White Sox (7), Kansas City Royals (8)
Cincinnati Reds (7), Milwaukee Brewers (6)
Los Angeles Dodgers (9), New York Mets (1)
Detroit Tigers (3), Oakland Athletics (12)
Minnesota Twins (6), Seattle Mariners (5)
New York Yankees (5), Tampa Bay Rays (9)
Pittsburgh Pirates (2), Texas Rangers (5)
Boston Red Sox (9), Toronto Blue Jays (10)
St. Louis Cardinals (9), Washington Nationals (4)
Houston Astros (8), LA Angels of Anaheim (6)
San Diego Padres (3), Arizona D'Backs (6)
Miami Marlins (7), Atlanta Braves (3)
Philadelphia Phillies (2), Chicago Cubs (7)
Baltimore Orioles (6), Cleveland Indians (4)
San Francisco Giants (8), Colorado Rockies (3)
Chicago White Sox (4), Kansas City Royals (5)
Cincinnati Reds (4), Milwaukee Brewers (5)
Los Angeles Dodgers (4), New York Mets (2)
Detroit Tigers (2), Oakland Athletics (4)
Minnesota Twins (5), Seattle Mariners (4)
New York Yankees (2), Tampa Bay Rays (1)
Pittsburgh Pirates (2), Texas Rangers (6)
Boston Red Sox (5), Toronto Blue Jays (3)
St. Louis Cardinals (2), Washington Nationals (10)
Detroit Tigers (1), LA Angels of Anaheim (5)
Houston Astros (8), Arizona D'Backs (3)
San Francisco Giants (3), Atlanta Braves (5)
Boston Red Sox (7), Baltimore Orioles (2)
Los Angeles Dodgers (0), Chicago Cubs (2)
Texas Rangers (9), Cleveland Indians (2)
Cincinnati Reds (11), Colorado Rockies (8)
Tampa Bay Rays (2), Kansas City Royals (6)
Pittsburgh Pirates (10), Miami Marlins (0)
St. Louis Cardinals (6), Milwaukee Brewers (0)
Chicago White Sox (0), New York Mets (1)
Minnesota Twins (2), Oakland Athletics (3)
Washington Nationals (4), Philadelphia Phillies (3)
San Diego Padres (3), Seattle Mariners (9)
New York Yankees (2), Toronto Blue Jays (4)
Detroit Tigers (9), LA Angels of Anaheim (11)
Houston Astros (8), Arizona D'Backs (5)
San Francisco Giants (4), Atlanta Braves (0)
Boston Red Sox (6), Baltimore Orioles (2)
Los Angeles Dodgers (5), Chicago Cubs (0)
Texas Rangers (7), Cleveland Indians (3)
Cincinnati Reds (4), Colorado Rockies (17)
Tampa Bay Rays (5), Kansas City Royals (10)
Pittsburgh Pirates (1), Miami Marlins (3)
St. Louis Cardinals (10), Milwaukee Brewers (3)
Chicago White Sox (6), New York Mets (4)
Minnesota Twins (4), Oakland Athletics (7)
Washington Nationals (5), Philadelphia Phillies (1)
San Diego Padres (4), Seattle Mariners (16)
New York Yankees (1), Toronto Blue Jays (4)
Detroit Tigers (3), LA Angels of Anaheim (0)
San Francisco Giants (4), Atlanta Braves (5)
Boston Red Sox (9), Baltimore Orioles (13)
Los Angeles Dodgers (1), Chicago Cubs (2)
Texas Rangers (4), Cleveland Indians (5)
Cincinnati Reds (7), Colorado Rockies (2)
Arizona D'Backs (4), Houston Astros (5)
Tampa Bay Rays (3), Kansas City Royals (6)
Pittsburgh Pirates (2), Miami Marlins (3)
St. Louis Cardinals (1), Milwaukee Brewers (3)
Chicago White Sox (2), New York Mets (1)
Minnesota Twins (1), Oakland Athletics (5)
Washington Nationals (7), Philadelphia Phillies (2)
Seattle Mariners (6), San Diego Padres (14)
New York Yankees (0), Toronto Blue Jays (7)
San Francisco Giants (6), Atlanta Braves (0)
Boston Red Sox (7), Baltimore Orioles (12)
Los Angeles Dodgers (2), Chicago Cubs (7)
Kansas City Royals (4), Cleveland Indians (5)
Cincinnati Reds (11), Colorado Rockies (4)
New York Yankees (5), Detroit Tigers (4)
Arizona D'Backs (3), Houston Astros (0)
Pittsburgh Pirates (3), Miami Marlins (4)
Tampa Bay Rays (4), Minnesota Twins (6)
Milwaukee Brewers (4), Philadelphia Phillies (1)
Seattle Mariners (16), San Diego Padres (13)
New York Yankees (5), Baltimore Orioles (6)
Toronto Blue Jays (5), Boston Red Sox (2)
Arizona D'Backs (0), Chicago Cubs (6)
Washington Nationals (2), Cincinnati Reds (7)
Kansas City Royals (1), Cleveland Indians (6)
Chicago White Sox (3), Detroit Tigers (10)
Oakland Athletics (2), Houston Astros (12)
Atlanta Braves (2), Los Angeles Dodgers (4)
New York Mets (6), Miami Marlins (2)
Tampa Bay Rays (4), Minnesota Twins (2)
Milwaukee Brewers (3), Philadelphia Phillies (6)
LA Angels of Anaheim (9), Pittsburgh Pirates (2)
Colorado Rockies (0), San Diego Padres (4)
San Francisco Giants (5), St. Louis Cardinals (1)
Seattle Mariners (3), Texas Rangers (7)
New York Yankees (8), Baltimore Orioles (6)
Toronto Blue Jays (4), Boston Red Sox (6)
Arizona D'Backs (3), Chicago Cubs (5)
Washington Nationals (3), Cincinnati Reds (6)
Kansas City Royals (1), Cleveland Indians (7)
Chicago White Sox (4), Detroit Tigers (7)
Oakland Athletics (5), Houston Astros (6)
Atlanta Braves (0), Los Angeles Dodgers (4)
New York Mets (6), Miami Marlins (4)
Tampa Bay Rays (7), Minnesota Twins (4)
Milwaukee Brewers (6), Philadelphia Phillies (3)
LA Angels of Anaheim (7), Pittsburgh Pirates (8)
Colorado Rockies (3), San Diego Padres (4)
San Francisco Giants (4), St. Louis Cardinals (7)
Seattle Mariners (4), Texas Rangers (10)
New York Yankees (1), Baltimore Orioles (3)
Toronto Blue Jays (5), Boston Red Sox (4)
Arizona D'Backs (3), Chicago Cubs (2)
Washington Nationals (10), Cincinnati Reds (9)
Kansas City Royals (0), Cleveland Indians (7)
Chicago White Sox (2), Detroit Tigers (5)
Oakland Athletics (2), Houston Astros (5)
Atlanta Braves (6), Los Angeles Dodgers (12)
New York Mets (0), Miami Marlins (1)
Tampa Bay Rays (7), Minnesota Twins (5)
Milwaukee Brewers (1), Philadelphia Phillies (8)
LA Angels of Anaheim (5), Pittsburgh Pirates (4)
Colorado Rockies (10), San Diego Padres (3)
San Francisco Giants (3), St. Louis Cardinals (6)
Seattle Mariners (2), Texas Rangers (3)
Tampa Bay Rays (6), Arizona D'Backs (4)
Kansas City Royals (1), Baltimore Orioles (4)
Toronto Blue Jays (0), Detroit Tigers (11)
Colorado Rockies (6), Los Angeles Dodgers (1)
LA Angels of Anaheim (2), New York Yankees (5)
Chicago Cubs (6), Philadelphia Phillies (4)
Atlanta Braves (2), San Diego Padres (7)
Cleveland Indians (3), Seattle Mariners (1)
Houston Astros (5), Texas Rangers (6)
Tampa Bay Rays (0), Arizona D'Backs (5)
Kansas City Royals (1), Baltimore Orioles (9)
Washington Nationals (10), Chicago White Sox (5)
St. Louis Cardinals (6), Cincinnati Reds (7)
Toronto Blue Jays (2), Detroit Tigers (3)
Colorado Rockies (3), Los Angeles Dodgers (4)
Oakland Athletics (4), Milwaukee Brewers (5)
Miami Marlins (4), Minnesota Twins (6)
LA Angels of Anaheim (3), New York Yankees (6)
Chicago Cubs (2), Philadelphia Phillies (3)
New York Mets (1), Pittsburgh Pirates (3)
New York Mets (1), Pittsburgh Pirates (3)
Atlanta Braves (3), San Diego Padres (4)
Cleveland Indians (1), Seattle Mariners (7)
Boston Red Sox (5), San Francisco Giants (3)
Houston Astros (3), Texas Rangers (4)
Tampa Bay Rays (6), Arizona D'Backs (3)
Kansas City Royals (0), Baltimore Orioles (4)
Washington Nationals (11), Chicago White Sox (4)
St. Louis Cardinals (12), Cincinnati Reds (7)
Toronto Blue Jays (7), Detroit Tigers (2)
Colorado Rockies (1), Los Angeles Dodgers (0)
Oakland Athletics (0), Milwaukee Brewers (4)
Miami Marlins (5), Minnesota Twins (7)
LA Angels of Anaheim (6), New York Yankees (12)
Chicago Cubs (8), Philadelphia Phillies (1)
New York Mets (6), Pittsburgh Pirates (5)
Atlanta Braves (4), San Diego Padres (2)
Cleveland Indians (0), Seattle Mariners (5)
Boston Red Sox (1), San Francisco Giants (2)
Houston Astros (3), Texas Rangers (1)
Washington Nationals (1), Chicago White Sox (3)
St. Louis Cardinals (3), Cincinnati Reds (2)
Pittsburgh Pirates (5), Colorado Rockies (11)
New York Mets (5), Milwaukee Brewers (2)
Miami Marlins (10), Minnesota Twins (3)
LA Angels of Anaheim (3), New York Yankees (6)
Cleveland Indians (5), Seattle Mariners (3)
Houston Astros (3), Texas Rangers (5)
Baltimore Orioles (6), Toronto Blue Jays (5)
Cleveland Indians (6), LA Angels of Anaheim (2)
Miami Marlins (8), Arizona D'Backs (6)
Chicago Cubs (1), Atlanta Braves (5)
Kansas City Royals (5), Chicago White Sox (7)
Oakland Athletics (1), Cincinnati Reds (2)
San Diego Padres (7), Colorado Rockies (5)
New York Mets (2), Milwaukee Brewers (1)
Boston Red Sox (8), Minnesota Twins (1)
Detroit Tigers (0), New York Yankees (4)
St. Louis Cardinals (9), Pittsburgh Pirates (3)
Texas Rangers (5), Seattle Mariners (7)
Los Angeles Dodgers (3), San Francisco Giants (2)
Houston Astros (3), Tampa Bay Rays (4)
Baltimore Orioles (3), Toronto Blue Jays (4)
Philadelphia Phillies (6), Washington Nationals (9)
Cleveland Indians (3), LA Angels of Anaheim (4)
Miami Marlins (3), Arizona D'Backs (5)
Chicago Cubs (8), Atlanta Braves (2)
Kansas City Royals (4), Chicago White Sox (1)
Oakland Athletics (1), Cincinnati Reds (2)
San Diego Padres (3), Colorado Rockies (5)
New York Mets (4), Milwaukee Brewers (7)
Boston Red Sox (15), Minnesota Twins (4)
Detroit Tigers (6), New York Yankees (1)
St. Louis Cardinals (5), Pittsburgh Pirates (1)
Texas Rangers (2), Seattle Mariners (1)
Los Angeles Dodgers (4), San Francisco Giants (5)
Houston Astros (4), Tampa Bay Rays (3)
Baltimore Orioles (6), Toronto Blue Jays (11)
Philadelphia Phillies (0), Washington Nationals (8)
Cleveland Indians (8), LA Angels of Anaheim (3)
Miami Marlins (0), Arizona D'Backs (6)
Chicago Cubs (13), Atlanta Braves (2)
Kansas City Royals (3), Chicago White Sox (1)
Oakland Athletics (6), Cincinnati Reds (1)
San Diego Padres (1), Colorado Rockies (2)
New York Mets (3), Milwaukee Brewers (5)
Boston Red Sox (4), Minnesota Twins (7)
Detroit Tigers (4), New York Yankees (1)
St. Louis Cardinals (8), Pittsburgh Pirates (3)
Texas Rangers (6), Seattle Mariners (4)
Los Angeles Dodgers (1), San Francisco Giants (2)
Houston Astros (0), Tampa Bay Rays (5)
Baltimore Orioles (9), Toronto Blue Jays (10)
Philadelphia Phillies (4), Washington Nationals (5)
Minnesota Twins (9), LA Angels of Anaheim (4)
Los Angeles Dodgers (2), Arizona D'Backs (3)
Cincinnati Reds (9), Atlanta Braves (8)
Detroit Tigers (9), Chicago White Sox (10)
Cleveland Indians (1), Kansas City Royals (2)
Texas Rangers (5), Oakland Athletics (14)
Miami Marlins (13), San Diego Padres (4)
Milwaukee Brewers (5), San Francisco Giants (11)
Philadelphia Phillies (7), Toronto Blue Jays (0)
Chicago Cubs (1), Washington Nationals (4)
Minnesota Twins (4), LA Angels of Anaheim (5)
Los Angeles Dodgers (7), Arizona D'Backs (4)
Cincinnati Reds (3), Atlanta Braves (1)
Baltimore Orioles (3), Boston Red Sox (2)
Detroit Tigers (11), Chicago White Sox (8)
New York Yankees (10), Colorado Rockies (13)
Cleveland Indians (2), Kansas City Royals (3)
Pittsburgh Pirates (4), New York Mets (0)
Texas Rangers (10), Oakland Athletics (6)
Miami Marlins (5), San Diego Padres (2)
Milwaukee Brewers (2), San Francisco Giants (3)
Houston Astros (5), St. Louis Cardinals (2)
Seattle Mariners (7), Tampa Bay Rays (8)
Philadelphia Phillies (3), Toronto Blue Jays (11)
Chicago Cubs (4), Washington Nationals (3)
Minnesota Twins (2), LA Angels of Anaheim (10)
Los Angeles Dodgers (3), Arizona D'Backs (2)
Cincinnati Reds (8), Atlanta Braves (9)
Baltimore Orioles (4), Boston Red Sox (6)
Detroit Tigers (3), Chicago White Sox (5)
New York Yankees (3), Colorado Rockies (6)
Cleveland Indians (4), Kansas City Royals (9)
Pittsburgh Pirates (2), New York Mets (11)
Texas Rangers (7), Oakland Athletics (5)
Toronto Blue Jays (7), Philadelphia Phillies (2)
Miami Marlins (3), San Diego Padres (6)
Milwaukee Brewers (1), San Francisco Giants (10)
Houston Astros (4), St. Louis Cardinals (1)
Seattle Mariners (2), Tampa Bay Rays (3)
Chicago Cubs (4), Washington Nationals (5)
Cincinnati Reds (2), Atlanta Braves (7)
Baltimore Orioles (5), Boston Red Sox (1)
Detroit Tigers (10), Kansas City Royals (4)
Milwaukee Brewers (8), Los Angeles Dodgers (6)
New York Yankees (4), Minnesota Twins (1)
Pittsburgh Pirates (4), New York Mets (6)
Texas Rangers (5), Oakland Athletics (1)
Toronto Blue Jays (13), Philadelphia Phillies (2)
Washington Nationals (8), San Diego Padres (5)
Seattle Mariners (6), Tampa Bay Rays (4)
Toronto Blue Jays (13), Baltimore Orioles (3)
Seattle Mariners (8), Boston Red Sox (4)
Pittsburgh Pirates (0), Chicago Cubs (6)
Chicago White Sox (2), Cleveland Indians (3)
Cincinnati Reds (4), Houston Astros (2)
Detroit Tigers (3), Kansas City Royals (10)
Milwaukee Brewers (2), Los Angeles Dodgers (3)
Colorado Rockies (1), Miami Marlins (5)
New York Yankees (8), Minnesota Twins (2)
Atlanta Braves (5), New York Mets (1)
LA Angels of Anaheim (2), Oakland Athletics (3)
Arizona D'Backs (10), Philadelphia Phillies (2)
Washington Nationals (7), San Diego Padres (5)
Texas Rangers (1), St. Louis Cardinals (0)
San Francisco Giants (5), Tampa Bay Rays (1)
Toronto Blue Jays (2), Baltimore Orioles (4)
Seattle Mariners (2), Boston Red Sox (6)
Pittsburgh Pirates (3), Chicago Cubs (4)
Chicago White Sox (2), Cleveland Indians (13)
Cincinnati Reds (4), Houston Astros (5)
Detroit Tigers (5), Kansas City Royals (16)
Milwaukee Brewers (6), Los Angeles Dodgers (10)
Colorado Rockies (6), Miami Marlins (9)
New York Yankees (7), Minnesota Twins (6)
Atlanta Braves (4), New York Mets (3)
LA Angels of Anaheim (7), Oakland Athletics (1)
Arizona D'Backs (4), Philadelphia Phillies (1)
Washington Nationals (3), San Diego Padres (7)
Texas Rangers (4), St. Louis Cardinals (3)
San Francisco Giants (6), Tampa Bay Rays (4)
Toronto Blue Jays (6), Baltimore Orioles (11)
Seattle Mariners (1), Boston Red Sox (2)
Pittsburgh Pirates (5), Chicago Cubs (10)
Chicago White Sox (2), Cleveland Indians (3)
Cincinnati Reds (0), Houston Astros (6)
Detroit Tigers (1), Kansas City Royals (2)
Milwaukee Brewers (1), Los Angeles Dodgers (2)
Colorado Rockies (0), Miami Marlins (3)
New York Yankees (4), Minnesota Twins (7)
Atlanta Braves (6), New York Mets (0)
LA Angels of Anaheim (2), Oakland Athletics (0)
Arizona D'Backs (5), Philadelphia Phillies (1)
Washington Nationals (3), San Diego Padres (6)
Texas Rangers (5), St. Louis Cardinals (4)
San Francisco Giants (5), Tampa Bay Rays (1)
Chicago White Sox (3), Boston Red Sox (1)
St. Louis Cardinals (3), Chicago Cubs (2)
Tampa Bay Rays (4), Cleveland Indians (7)
Seattle Mariners (7), Detroit Tigers (8)
LA Angels of Anaheim (7), Houston Astros (10)
Washington Nationals (1), Los Angeles Dodgers (4)
Colorado Rockies (5), Miami Marlins (3)
Arizona D'Backs (3), Philadelphia Phillies (1)
San Francisco Giants (0), Pittsburgh Pirates (1)
Baltimore Orioles (3), Texas Rangers (4)
San Diego Padres (10), Baltimore Orioles (7)
Chicago White Sox (3), Boston Red Sox (1)
St. Louis Cardinals (4), Chicago Cubs (3)
Tampa Bay Rays (0), Cleveland Indians (6)
Seattle Mariners (2), Detroit Tigers (4)
LA Angels of Anaheim (2), Houston Astros (3)
Washington Nationals (2), Los Angeles Dodgers (3)
Atlanta Braves (3), Miami Marlins (2)
Philadelphia Phillies (10), Minnesota Twins (14)
Colorado Rockies (8), New York Yankees (4)
Kansas City Royals (1), New York Mets (2)
Milwaukee Brewers (3), Oakland Athletics (5)
San Francisco Giants (15), Pittsburgh Pirates (4)
Cincinnati Reds (8), Texas Rangers (2)
Arizona D'Backs (4), Toronto Blue Jays (2)
San Diego Padres (2), Baltimore Orioles (7)
Chicago White Sox (8), Boston Red Sox (6)
St. Louis Cardinals (7), Chicago Cubs (2)
Tampa Bay Rays (1), Cleveland Indians (6)
Seattle Mariners (1), Detroit Tigers (5)
LA Angels of Anaheim (2), Houston Astros (3)
Washington Nationals (3), Los Angeles Dodgers (4)
Atlanta Braves (0), Miami Marlins (3)
Philadelphia Phillies (5), Minnesota Twins (6)
Colorado Rockies (8), New York Yankees (9)
Kansas City Royals (3), New York Mets (4)
Milwaukee Brewers (4), Oakland Athletics (2)
San Francisco Giants (7), Pittsburgh Pirates (6)
Cincinnati Reds (4), Texas Rangers (6)
Arizona D'Backs (2), Toronto Blue Jays (5)
Oakland Athletics (5), LA Angels of Anaheim (4)
New York Mets (3), Atlanta Braves (4)
Chicago White Sox (7), Boston Red Sox (8)
San Diego Padres (7), Cincinnati Reds (4)
Arizona D'Backs (7), Colorado Rockies (6)
Seattle Mariners (4), Detroit Tigers (5)
Chicago Cubs (2), Miami Marlins (4)
Philadelphia Phillies (7), Minnesota Twins (3)
San Francisco Giants (5), Pittsburgh Pirates (3)
Oakland Athletics (7), LA Angels of Anaheim (4)
New York Mets (8), Atlanta Braves (6)
Tampa Bay Rays (3), Baltimore Orioles (6)
Toronto Blue Jays (2), Chicago White Sox (3)
San Diego Padres (13), Cincinnati Reds (4)
Arizona D'Backs (10), Colorado Rockies (9)
Cleveland Indians (7), Detroit Tigers (5)
Houston Astros (13), Kansas City Royals (4)
Chicago Cubs (5), Miami Marlins (4)
Washington Nationals (3), Milwaukee Brewers (5)
Minnesota Twins (3), New York Yankees (5)
Los Angeles Dodgers (6), Pittsburgh Pirates (8)
St. Louis Cardinals (3), Seattle Mariners (4)
Philadelphia Phillies (4), San Francisco Giants (5)
Boston Red Sox (8), Texas Rangers (7)
Oakland Athletics (7), LA Angels of Anaheim (3)
New York Mets (1), Atlanta Braves (0)
Tampa Bay Rays (0), Baltimore Orioles (5)
Tampa Bay Rays (6), Baltimore Orioles (8)
Toronto Blue Jays (10), Chicago White Sox (8)
San Diego Padres (3), Cincinnati Reds (0)
Arizona D'Backs (6), Colorado Rockies (11)
Cleveland Indians (6), Detroit Tigers (0)
Houston Astros (13), Kansas City Royals (5)
Chicago Cubs (6), Miami Marlins (9)
Washington Nationals (5), Milwaukee Brewers (6)
Minnesota Twins (1), New York Yankees (2)
Los Angeles Dodgers (1), Pittsburgh Pirates (6)
St. Louis Cardinals (4), Seattle Mariners (5)
Philadelphia Phillies (3), San Francisco Giants (2)
Boston Red Sox (3), Texas Rangers (10)
Oakland Athletics (6), LA Angels of Anaheim (7)
New York Mets (2), Atlanta Braves (5)
Tampa Bay Rays (5), Baltimore Orioles (12)
Toronto Blue Jays (2), Chicago White Sox (5)
San Diego Padres (0), Cincinnati Reds (3)
Arizona D'Backs (7), Colorado Rockies (9)
Cleveland Indians (9), Detroit Tigers (3)
Houston Astros (1), Kansas City Royals (6)
Chicago Cubs (1), Miami Marlins (6)
Washington Nationals (3), Milwaukee Brewers (2)
Minnesota Twins (7), New York Yankees (1)
Los Angeles Dodgers (3), Pittsburgh Pirates (4)
St. Louis Cardinals (11), Seattle Mariners (6)
Philadelphia Phillies (7), San Francisco Giants (8)
Boston Red Sox (2), Texas Rangers (6)
Houston Astros (4), LA Angels of Anaheim (2)
Philadelphia Phillies (8), Arizona D'Backs (0)
Cleveland Indians (8), Atlanta Braves (3)
Chicago Cubs (11), Cincinnati Reds (8)
Toronto Blue Jays (5), Colorado Rockies (9)
St. Louis Cardinals (2), Kansas City Royals (6)
Texas Rangers (9), New York Yankees (6)
Los Angeles Dodgers (5), Pittsburgh Pirates (4)
Oakland Athletics (8), San Francisco Giants (3)
Boston Red Sox (7), Tampa Bay Rays (13)
New York Mets (4), Washington Nationals (11)
Houston Astros (7), LA Angels of Anaheim (1)
Philadelphia Phillies (4), Arizona D'Backs (3)
Cleveland Indians (5), Atlanta Braves (3)
Minnesota Twins (4), Chicago White Sox (0)
Chicago Cubs (7), Cincinnati Reds (2)
Toronto Blue Jays (14), Colorado Rockies (9)
Miami Marlins (5), Detroit Tigers (7)
St. Louis Cardinals (8), Kansas City Royals (4)
Los Angeles Dodgers (6), Milwaukee Brewers (5)
Texas Rangers (7), New York Yankees (1)
Baltimore Orioles (11), San Diego Padres (7)
Pittsburgh Pirates (2), Seattle Mariners (5)
Oakland Athletics (13), San Francisco Giants (11)
Boston Red Sox (8), Tampa Bay Rays (2)
New York Mets (0), Washington Nationals (5)
Houston Astros (10), LA Angels of Anaheim (4)
Philadelphia Phillies (9), Arizona D'Backs (8)
Cleveland Indians (3), Atlanta Braves (0)
Minnesota Twins (6), Chicago White Sox (9)
Chicago Cubs (9), Cincinnati Reds (2)
Toronto Blue Jays (5), Colorado Rockies (3)
Miami Marlins (3), Detroit Tigers (10)
Los Angeles Dodgers (0), Milwaukee Brewers (7)
Texas Rangers (7), New York Yankees (9)
San Francisco Giants (1), Oakland Athletics (7)
Baltimore Orioles (12), San Diego Padres (6)
Pittsburgh Pirates (8), Seattle Mariners (1)
Kansas City Royals (3), St. Louis Cardinals (2)
Boston Red Sox (0), Tampa Bay Rays (4)
New York Mets (2), Washington Nationals (4)
Miami Marlins (5), Atlanta Braves (8)
Minnesota Twins (5), Chicago White Sox (6)
Los Angeles Dodgers (8), Milwaukee Brewers (1)
Texas Rangers (1), New York Yankees (2)
