88,117
129,100
104,113
117,122
121,130
114,120
98,102
107,96
107,102
108,96
103,97
113,94
91,109
99,114
99,105
114,106
102,94
94,103
106,98
82,108
97,91
122,114
110,113
94,91
89,96
101,118
104,98
99,105
115,113
108,110
104,111
104,72
103,106
79,98
83,98
92,93
75,88
103,112
106,99
96,113
106,100
95,106
118,88
98,116
102,105
120,128
89,102
108,115
96,108
80,116
117,113
103,101
127,104
106,91
123,116
100,107
101,109
93,109
85,83
83,89
118,99
115,118
81,97
113,103
122,128
96,122
107,125
102,99
94,102
99,95
117,104
105,95
97,117
99,88
112,111
87,96
100,86
92,95
97,112
86,103
94,111
91,117
92,112
86,88
102,101
116,92
123,107
75,86
108,119
100,94
114,109
96,91
80,112
100,122
106,116
82,114
85,97
109,84
114,106
110,119
110,106
109,97
107,108
121,124
94,102
107,115
98,104
95,116
115,122
80,111
96,110
112,102
123,107
100,107
101,99
93,118
125,101
98,95
112,106
101,91
87,115
113,111
110,108
87,74
105,109
120,122
86,96
105,94
96,117
95,106
106,95
106,100
105,99
102,91
96,106
119,105
126,99
122,104
107,118
93,100
120,133
99,125
119,117
105,112
88,104
88,115
69,88
95,127
105,106
77,93
90,94
102,96
117,121
118,125
93,90
115,108
113,88
100,107
83,90
104,120
93,103
111,107
102,105
103,105
82,89
102,109
110,105
127,121
109,126
73,96
86,110
85,77
112,119
104,88
96,100
81,104
80,64
113,111
116,96
116,107
101,113
105,124
121,115
94,92
102,111
95,102
71,93
124,121
116,121
87,95
105,120
114,111
129,109
91,105
118,110
94,104
115,111
99,102
105,90
99,96
120,83
115,123
89,93
99,93
94,101
91,96
101,106
112,94
107,110
109,111
103,107
111,92
119,114
125,137
124,104
84,107
106,149
115,102
96,85
96,117
92,87
104,99
101,116
83,108
109,103
90,128
132,129
97,108
97,118
109,85
90,81
105,99
111,113
94,91
105,89
98,85
104,119
117,104
68,95
102,107
102,115
110,107
88,106
112,100
122,105
81,91
70,91
94,109
104,96
112,108
120,114
130,114
100,105
104,85
112,104
112,103
112,103
95,122
95,101
122,127
112,89
101,118
88,105
95,83
101,120
121,114
96,90
94,87
106,98
106,104
115,126
107,109
109,131
105,120
111,93
87,97
113,94
132,127
94,95
111,110
121,85
92,97
105,111
128,110
114,96
114,118
105,88
105,107
80,113
125,120
82,107
109,138
100,103
103,112
107,106
92,99
